date,adj_close
2014-04-17,16.3353
2014-04-25,17.7978
2014-05-02,18.4401
2014-05-09,18.3231
2014-05-16,18.6976
2014-05-23,19.2177
2014-05-30,19.8081
2014-06-06,20.2015
2014-06-13,19.9947
2014-06-20,19.9136
2014-06-27,20.148
2014-07-03,20.597
2014-07-11,20.8577
2014-07-18,20.6847
2014-07-25,21.3946
2014-08-01,21.057
2014-08-08,20.8558
2014-08-15,21.5691
2014-08-22,22.3043
2014-08-29,22.5641
2014-09-05,21.787
2014-09-12,22.3792
2014-09-19,22.2251
2014-09-26,22.1788
2014-10-03,21.9301
2014-10-10,22.1744
2014-10-17,21.5008
2014-10-24,23.1628
2014-10-31,23.7748
2014-11-07,24.1009
2014-11-14,25.244
2014-11-21,25.7503
2014-11-28,26.2941
2014-12-05,25.4252
2014-12-12,24.2601
2014-12-19,24.7133
2014-12-26,25.2019
2015-01-02,24.1717
2015-01-09,24.7642
2015-01-16,23.4332
2015-01-23,24.9786
2015-01-30,25.9028
2015-02-06,26.3972
2015-02-13,28.2061
2015-02-20,28.7421
2015-02-27,28.5124
2015-03-06,28.0996
2015-03-13,27.4315
2015-03-20,27.9442
2015-03-27,27.356
2015-04-02,27.8155
2015-04-10,28.2105
2015-04-17,27.6889
2015-04-24,28.9164
2015-05-01,28.6212
2015-05-08,28.4436
2015-05-15,28.6999
2015-05-22,29.5401
2015-05-29,29.0364
2015-06-05,28.6731
2015-06-12,28.3433
2015-06-19,28.2162
2015-06-26,28.2496
2015-07-02,28.1806
2015-07-10,27.4763
2015-07-17,28.8893
2015-07-24,27.7482
2015-07-31,27.035
2015-08-07,25.863
2015-08-14,25.9615
2015-08-21,23.6779
2015-08-28,25.3638
2015-09-04,24.4638
2015-09-11,25.5697
2015-09-18,25.3996
2015-09-25,25.6817
2015-10-02,24.7123
2015-10-09,25.1018
2015-10-16,24.86
2015-10-23,26.6601
2015-10-30,26.7541
2015-11-06,27.2199
2015-11-13,25.2592
2015-11-20,26.8242
2015-11-27,26.4891
2015-12-04,26.7635
2015-12-11,25.4481
2015-12-18,23.8405
2015-12-24,24.2902
2015-12-31,23.6673
2016-01-08,21.8011
2016-01-15,21.8393
2016-01-22,22.8039
2016-01-29,21.8865
2016-02-05,21.2539
2016-02-12,21.2471
2016-02-19,21.7105
2016-02-26,21.9072
2016-03-04,23.2861
2016-03-11,23.1166
2016-03-18,23.9439
2016-03-24,23.8874
2016-04-01,24.864
2016-04-08,24.5633
2016-04-15,24.8323
2016-04-22,23.8897
2016-04-29,21.1906
2016-05-06,21.0881
2016-05-13,20.5877
2016-05-20,21.6567
2016-05-27,22.8235
2016-06-03,22.2708
2016-06-10,22.4778
2016-06-17,21.6817
2016-06-24,21.2428
2016-07-01,21.8091
2016-07-08,21.9888
2016-07-15,22.4664
2016-07-22,22.4391
2016-07-29,23.7014
2016-08-05,24.5767
2016-08-12,24.7368
2016-08-19,25.0066
2016-08-26,24.4532
2016-09-02,24.6339
2016-09-09,23.582
2016-09-16,26.278
2016-09-23,25.7726
2016-09-30,25.8504
2016-10-07,26.0813
2016-10-14,26.8976
2016-10-21,26.6621
2016-10-28,26.0036
2016-11-04,25.0169
2016-11-11,24.9226
2016-11-18,25.2973
2016-11-25,25.6949
2016-12-02,25.2605
2016-12-09,26.1914
2016-12-16,26.6557
2016-12-23,26.7821
2016-12-30,26.6212
2017-01-06,27.1016
2017-01-13,27.3613
2017-01-20,27.582
2017-01-27,28.0302
2017-02-03,29.669
2017-02-10,30.4985
2017-02-17,31.3295
2017-02-24,31.5465
2017-03-03,32.2667
2017-03-10,32.119
2017-03-17,32.3152
2017-03-24,32.4652
2017-03-31,33.1624
2017-04-07,33.0885
2017-04-13,32.5599
2017-04-21,32.8415
2017-04-28,33.1601
2017-05-05,34.3858
2017-05-12,36.1815
2017-05-19,35.4768
2017-05-26,35.6043
2017-06-02,36.0308
2017-06-09,34.5312
2017-06-16,32.9759
2017-06-23,33.9054
2017-06-30,33.3815
2017-07-07,33.4186
2017-07-14,34.5451
2017-07-21,34.8302
2017-07-28,34.6517
2017-08-04,36.2487
2017-08-11,36.6494
2017-08-18,36.654
2017-08-25,37.2033
2017-09-01,38.1784
2017-09-08,36.917
2017-09-15,37.2079
2017-09-22,35.3485
2017-09-29,35.8674
2017-10-06,36.142
2017-10-13,36.5354
2017-10-20,36.3631
2017-10-27,37.9457
2017-11-03,40.1449
2017-11-10,40.7965
2017-11-17,39.7408
2017-11-24,40.8666
2017-12-01,39.951
2017-12-08,39.5586
2017-12-15,40.633
2017-12-22,40.8759
2017-12-29,39.5259
2018-01-05,40.8736
2018-01-12,41.3618
2018-01-19,41.6817
2018-01-26,40.0585
2018-02-02,37.4869
2018-02-09,36.6788
2018-02-16,40.4356
2018-02-23,41.1555
2018-03-02,41.322
2018-03-09,42.2061
2018-03-16,41.7464
2018-03-23,38.6791
2018-03-29,39.3451
2018-04-06,39.4858
2018-04-13,40.9749
2018-04-20,38.862
2018-04-27,38.0647
2018-05-04,43.1089
2018-05-11,44.3963
2018-05-18,43.8596
2018-05-25,44.394
2018-06-01,44.7848
2018-06-08,45.1285
2018-06-15,44.4552
2018-06-22,43.5324
2018-06-29,43.5771
2018-07-06,44.2504
2018-07-13,45.0414
2018-07-20,45.0673
2018-07-27,44.959
2018-08-03,48.9633
2018-08-10,49.0269
2018-08-17,51.4011
2018-08-24,51.0656
2018-08-31,53.7753
2018-09-07,52.2799
2018-09-14,52.88
2018-09-21,51.42
2018-09-28,53.3288
2018-10-05,52.9863
2018-10-12,52.4713
2018-10-19,51.8098
2018-10-26,51.0987
2018-11-02,49.0151
2018-11-09,48.4731
2018-11-16,45.8796
2018-11-23,40.8443
2018-11-30,42.3355
2018-12-07,39.9435
2018-12-14,39.2299
2018-12-21,35.7331
2018-12-28,37.037
2019-01-04,35.1476
2019-01-11,36.103
2019-01-18,37.1769
2019-01-25,37.3997
2019-02-01,39.4764
2019-02-08,40.5717
2019-02-15,40.5741
2019-02-22,41.1812
2019-03-01,41.6573
2019-03-08,41.1669
2019-03-15,44.312
2019-03-22,45.4857
2019-03-29,45.2238
2019-04-05,46.9023
2019-04-12,47.3475
2019-04-18,48.5355
2019-04-26,48.6403
2019-05-03,50.414
2019-05-10,47.1285
2019-05-17,45.1734
2019-05-24,42.7761
2019-05-31,41.8439
2019-06-07,45.4482
2019-06-14,46.0673
2019-06-21,47.5109
2019-06-28,47.3053
2019-07-05,48.8135
2019-07-12,48.5912
2019-07-19,48.4215
2019-07-26,49.6524
2019-08-02,48.7633
2019-08-09,48.2232
2019-08-16,49.5452
2019-08-23,48.619
2019-08-30,50.0826
2019-09-06,51.1671
2019-09-13,52.4843
2019-09-20,52.2396
2019-09-27,52.5011
2019-10-04,54.4661
2019-10-11,56.6734
2019-10-18,56.7214
2019-10-25,59.1615
2019-11-01,61.3784
2019-11-08,62.6002
2019-11-15,63.9526
2019-11-22,62.9948
2019-11-29,64.3111
2019-12-06,65.1437
2019-12-13,66.2122
2019-12-20,67.2445
2019-12-27,69.7375
2020-01-03,71.5736
2020-01-10,74.6779
2020-01-17,76.6993
2020-01-24,76.5982
2020-01-31,74.4806
2020-02-07,77.1974
2020-02-14,78.3842
2020-02-21,75.5137
2020-02-28,65.9397
2020-03-06,69.7196
2020-03-13,67.0517
2020-03-20,55.2971
2020-03-27,59.7597
2020-04-03,58.2327
2020-04-09,64.6443
2020-04-17,68.2168
2020-04-24,68.2578
2020-05-01,69.7292
2020-05-08,75.0071
2020-05-15,74.4218
2020-05-22,77.1258
2020-05-29,76.896
2020-06-05,80.1756
2020-06-12,81.9412
2020-06-19,84.5822
2020-06-26,85.5279
2020-07-02,88.0626
2020-07-10,92.7957
2020-07-17,93.1899
2020-07-24,89.5984
2020-07-31,102.7989
2020-08-07,107.6917
2020-08-14,111.3698
2020-08-21,120.541
2020-08-28,120.9651
2020-09-04,117.236
2020-09-11,108.5519
2020-09-18,103.5507
2020-09-25,108.8232
2020-10-02,109.5405
2020-10-09,113.3688
2020-10-16,115.3557
2020-10-23,111.4983
2020-10-30,105.5085
2020-11-06,115.2346
2020-11-13,115.788
2020-11-20,113.9239
2020-11-27,113.1957
2020-12-04,118.6909
2020-12-11,118.8463
2020-12-18,122.9677
2020-12-24,128.128
2020-12-31,128.827
2021-01-08,128.2056
2021-01-15,123.4386
2021-01-22,135.0213
2021-01-29,128.1183
2021-02-05,132.9775
2021-02-12,131.626
2021-02-19,126.2781
2021-02-26,117.9062
2021-03-05,118.0618
2021-03-12,117.6826
2021-03-19,116.6714
2021-03-26,117.8576
2021-04-01,119.5981
2021-04-09,129.3167
2021-04-16,130.4495
2021-04-23,130.605
2021-04-30,127.8241
2021-05-07,126.8226
2021-05-14,124.1344
2021-05-21,122.167
